"PDF.Link","Record.Num","Originator","Pages","Current.Classification","Document.Date","Document.Type","To","From","Date.of.Review","Title","Comments"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10326-10013.pdf"" target=""_blank"">View PDF</a>","104-10326-10013","CIA",2,"Not Marked",1998-03-06,"PAPER - TEXTUAL DOCUMENT","DIRECTOR","WITHHELD","4/26/2018","CABLE: (DELETION) ACCESS SUPPORT TO USG/ASSASSINATION RECORD REVIEW BOARD","JFK-M-11 : F1 : 20040323-1063418 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10326-10016.pdf"" target=""_blank"">View PDF</a>","104-10326-10016","CIA",4,"Not Marked",1998-02-09,"PAPER - TEXTUAL DOCUMENT","DIRECTOR","WITHHELD","4/26/2018","CABLE: JFK ASSASSINATION RECORDS REVIEW BOARD (ARRB): CONTINUED PROTECTION OF COVER","JFK-M-11 : F1 : 20040323-1063419 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10326-10026.pdf"" target=""_blank"">View PDF</a>","104-10326-10026","CIA",2,"Secret",1997-08-07,"PAPER - TEXTUAL DOCUMENT","DIRECTOR","WITHHELD","4/26/2018","CABLE:(DELETION) REQUEST FOR DOCUMENTS ON JEAN RENE SOUTRE (DELETION)","JFK-M-11 : F1 : 1999.02.03.14:09:52:936120 : CIA CORRESPONDENCE RE ARRB"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10326-10030.pdf"" target=""_blank"">View PDF</a>","104-10326-10030","CIA",1,"Secret",1997-03-07,"PAPER - TEXTUAL DOCUMENT","DIRECTOR","WITHHELD","4/26/2018","CABLE:RESULTS OF CONTACT WITH FORMER EMPLOYEE CONCERNING JFK ASSASSINATION RECORD COLLECTION ACT","JFK-M-11 : F1 : 1999.02.03.14:31:36:950120 : CIA CORRESPONDENCE RE ARRB"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10326-10033.pdf"" target=""_blank"">View PDF</a>","104-10326-10033","CIA",4,"Secret",1997-03-06,"PAPER - TEXTUAL DOCUMENT","WITHHELD","DIRECTOR","4/26/2018","CABLE:REQUEST FOR ASSISTANCE","JFK-M-11 : F1 : 1999.02.03.14:41:35:590120 : CIA CORRESPONDENCE RE ARRB"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10326-10034.pdf"" target=""_blank"">View PDF</a>","104-10326-10034","CIA",4,"Secret",1997-03-06,"PAPER - TEXTUAL DOCUMENT","WITHHELD","DIRECTOR","4/26/2018","CABLE:REQUEST FOR ASSISTANCE","JFK-M-11 : F1 : 1999.02.03.14:45:09:340120 : CIA CORRESPONDENCE RE ARRB"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10326-10035.pdf"" target=""_blank"">View PDF</a>","104-10326-10035","CIA",4,"Secret",1997-03-05,"PAPER - TEXTUAL DOCUMENT","WITHHELD","DIRECTOR","4/26/2018","CABLE:REQUEST FOR ASSISTANCE","JFK-M-11 : F1 : 1999.02.03.14:46:47:936120 : CIA CORRESPONDENCE RE ARRB"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10326-10036.pdf"" target=""_blank"">View PDF</a>","104-10326-10036","CIA",4,"Secret",1997-03-05,"PAPER - TEXTUAL DOCUMENT","WITHHELD","DIRECTOR","4/26/2018","CABLE:REQUEST FOR ASSISTANCE","JFK-M-11 : F1 : 1999.02.03.14:48:05:793120 : CIA CORRESPONDENCE RE ARRB"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10326-10037.pdf"" target=""_blank"">View PDF</a>","104-10326-10037","CIA",4,"Secret",1997-03-05,"PAPER - TEXTUAL DOCUMENT","WITHHELD","DIRECTOR","4/26/2018","CABLE:REQUEST FOR ASSISTANCE","JFK-M-11 : F1 : 1999.02.03.14:49:20:950120 : CIA CORRESPONDENCE RE ARRB"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10326-10038.pdf"" target=""_blank"">View PDF</a>","104-10326-10038","CIA",4,"Secret",1997-03-05,"PAPER - TEXTUAL DOCUMENT","WITHHELD","DIRECTOR","4/26/2018","CABLE:REQUEST FOR ASSISTANCE","JFK-M-11 : F2 : 1999.02.03.15:03:29:293120 : CIA CORRESPONDENCE RE ARRB"
