"PDF.Link","Record.Num","Originator","Pages","Current.Classification","Document.Date","Document.Type","To","From","Date.of.Review","Title","Comments"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10107-10195.pdf"" target=""_blank"">View PDF</a>","104-10107-10195","CIA",5,"Unclassified",1975-11-13,"PAPER - TEXTUAL DOCUMENT","SENIOR JUDGE, CIRCUIT COURT","WARNER, JOHN S, GENERAL COUNSEL","4/26/2018","LETTER: JURY DUTY IN FAIRFAX COUNTY FOR AGENCY EMPLOYEE","JFK38 : F4 : 1998.08.26.07:19:59:983120 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10108-10026.pdf"" target=""_blank"">View PDF</a>","104-10108-10026","CIA",1,"Unclassified",0-01-01,"PAPER - TEXTUAL DOCUMENT","","","4/26/2018","'PHOTOS OF E. HOWARD HUNT.'","JFK39 : F8 : 1993.07.22.09:23:45:870600 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10109-10320.pdf"" target=""_blank"">View PDF</a>","104-10109-10320","CIA",2,"Not Marked",1971-04-22,"PAPER - TEXTUAL DOCUMENT","HDQS","SAC, MFO","4/26/2018","CABLE RE SUPPORT TO PROJECT SEAL.","JFK40 : F8 : 20040112-1033603 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10110-10095.pdf"" target=""_blank"">View PDF</a>","104-10110-10095","CIA",1,"Unclassified",1974-06-18,"PAPER - TEXTUAL DOCUMENT","","","4/26/2018","TRAVEL BRIEFING DATA FOR CHARLOTTE BUSTOR-VIDELA.","JFK40 : F20 : 1997.08.05.10:46:32:856092 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10110-10242.pdf"" target=""_blank"">View PDF</a>","104-10110-10242","CIA",2,"Secret",1963-07-18,"PAPER - TEXTUAL DOCUMENT","CHIEF, SUPPORT BRANCH, CIA","HART, RAMON R., CIA","4/26/2018","MANUEL F. ARTIME BUESA.","JFK40 : F7 : 1994.03.03.14:09:29:440028 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10110-10243.pdf"" target=""_blank"">View PDF</a>","104-10110-10243","CIA",2,"Secret",1963-07-18,"PAPER - TEXTUAL DOCUMENT","CHIEF, SUPPORT BRANCH, CIA","HART, RAMON R., CIA","4/26/2018","MANUEL F. ARTIME BUESA.","JFK40 : F7 : 1994.03.03.14:10:25:310028 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10110-10245.pdf"" target=""_blank"">View PDF</a>","104-10110-10245","CIA",6,"Secret",1963-07-01,"PAPER - TEXTUAL DOCUMENT","CHIEF, SUPPORT BRANCH, CIA","HART, RAMON R., CIA","4/26/2018","MANUEL F. ARTIME BUESA.","JFK40 : F7 : 1994.03.03.14:13:28:130028 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10110-10291.pdf"" target=""_blank"">View PDF</a>","104-10110-10291","CIA",1,"Secret",1977-12-28,"PAPER - TEXTUAL DOCUMENT","CHIEF, CONTROL DIVISION, OP","","4/26/2018","PERSONNEL NOTIFICATION FORM.","JFK40 : F20 : 1994.03.07.14:11:19:370028 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10110-10292.pdf"" target=""_blank"">View PDF</a>","104-10110-10292","CIA",1,"Secret",1977-12-30,"PAPER - TEXTUAL DOCUMENT","","WITHHELD","4/26/2018","INTERVIEW REPORT FORM.","JFK40 : F20 : 1994.03.07.14:13:38:310028 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10110-10295.pdf"" target=""_blank"">View PDF</a>","104-10110-10295","CIA",1,"Secret",1977-02-25,"PAPER - TEXTUAL DOCUMENT","CHIEF, CONTROL DIVISION, OP","CHIEF, CCS","4/26/2018","NOTIFICATION OF ESTABLISHMENT OR CANCELLATION OF","JFK40 : F20 : 1994.03.07.14:17:59:250028 :"
